2026-03-28 03:19 | $66,121.28
2026-03-28 03:24 | $66,123.20  (+$1.93)
2026-03-28 03:29 | $66,106.66  ($-16.54)
2026-03-28 03:34 | $66,116.69  (+$10.03)
2026-03-28 03:39 | $66,174.75  (+$58.06)
2026-03-28 03:44 | $66,179.75  (+$5.01)
2026-03-28 03:49 | $66,162.22  ($-17.53)
2026-03-28 03:54 | $66,168.28  (+$6.06)
2026-03-28 03:59 | $66,167.61  ($-0.67)
2026-03-28 04:04 | $66,167.65  (+$0.04)
2026-03-28 04:09 | $66,098.68  ($-68.97)
2026-03-28 04:14 | $66,081.76  ($-16.92)

CURRENT PRICE: $66,201.48 at 2026-03-28 04:19
