2026-03-28 09:19 | $66,303.04
2026-03-28 09:24 | $66,345.34  (+$42.30)
2026-03-28 09:29 | $66,328.88  ($-16.46)
2026-03-28 09:34 | $66,271.01  ($-57.87)
2026-03-28 09:39 | $66,256.67  ($-14.34)
2026-03-28 09:44 | $66,252.61  ($-4.06)
2026-03-28 09:49 | $66,235.97  ($-16.65)
2026-03-28 09:54 | $66,233.53  ($-2.43)
2026-03-28 09:59 | $66,263.63  (+$30.10)
2026-03-28 10:04 | $66,297.14  (+$33.51)
2026-03-28 10:09 | $66,342.41  (+$45.27)
2026-03-28 10:14 | $66,290.52  ($-51.89)

CURRENT PRICE: $66,274.50 at 2026-03-28 10:19
