2026-03-28 08:34 | $66,486.72
2026-03-28 08:39 | $66,442.30  ($-44.42)
2026-03-28 08:44 | $66,399.75  ($-42.55)
2026-03-28 08:49 | $66,403.84  (+$4.09)
2026-03-28 08:54 | $66,362.49  ($-41.36)
2026-03-28 08:59 | $66,350.42  ($-12.07)
2026-03-28 09:04 | $66,320.29  ($-30.13)
2026-03-28 09:09 | $66,302.71  ($-17.57)
2026-03-28 09:14 | $66,306.77  (+$4.06)
2026-03-28 09:19 | $66,303.04  ($-3.72)
2026-03-28 09:24 | $66,345.34  (+$42.30)
2026-03-28 09:29 | $66,328.88  ($-16.46)

CURRENT PRICE: $66,271.01 at 2026-03-28 09:34
