2026-03-28 12:29 | $66,395.84
2026-03-28 12:34 | $66,341.87  ($-53.97)
2026-03-28 12:39 | $66,308.66  ($-33.21)
2026-03-28 12:44 | $66,325.05  (+$16.40)
2026-03-28 12:49 | $66,331.62  (+$6.57)
2026-03-28 12:54 | $66,405.25  (+$73.63)
2026-03-28 13:00 | $66,415.84  (+$10.59)
2026-03-28 13:04 | $66,417.09  (+$1.25)
2026-03-28 13:09 | $66,408.89  ($-8.20)
2026-03-28 13:14 | $66,466.53  (+$57.65)
2026-03-28 13:19 | $66,440.89  ($-25.64)
2026-03-28 13:24 | $66,414.81  ($-26.08)

CURRENT PRICE: $66,395.78 at 2026-03-28 13:30
