2026-03-28 17:14 | $66,863.71
2026-03-28 17:20 | $66,825.55  ($-38.16)
2026-03-28 17:24 | $66,805.24  ($-20.31)
2026-03-28 17:29 | $66,755.12  ($-50.12)
2026-03-28 17:34 | $66,714.61  ($-40.52)
2026-03-28 17:39 | $66,817.04  (+$102.43)
2026-03-28 17:44 | $66,795.57  ($-21.47)
2026-03-28 17:49 | $66,774.29  ($-21.28)
2026-03-28 17:54 | $66,761.49  ($-12.79)
2026-03-28 18:00 | $66,803.08  (+$41.59)
2026-03-28 18:04 | $66,864.82  (+$61.74)
2026-03-28 18:09 | $66,850.48  ($-14.33)

CURRENT PRICE: $66,887.63 at 2026-03-28 18:14
